"Time","Ciudad Vieja","Punta Carretas","Curva de Maroñas","La Blanqueada","Prado","Lezica","Casavalle","Carrasco","Manga","Cerro","Malvín","La Esperanza","Santiago Vázquez","Colón","Paso de la Arena","Chacarita"
2025-02-05 09:11:59,,,,0.25,,,,,,,,,,,,
2025-02-05 09:12:04,,,,,,,,,,,,,,0.00,,
2025-02-05 09:12:05,,,,,,,,,,0.00,,,,,,
2025-02-05 09:12:12,,,,,,0.51,,,,,,,,,,
2025-02-05 09:12:20,,,,,,,,,,,,,,,0.76,
2025-02-05 09:12:21,,11.43,0.00,,,,,,,,,,,,,
2025-02-05 09:12:54,,,,,0.00,,,,,,,,,,,
2025-02-05 09:13:05,0.00,,,,,,,,,,,,,,,
2025-02-05 09:13:09,,,,,,,,,0.00,,,,,,,
2025-02-05 09:13:32,,,,,,,,5.33,,,,,,,,
2025-02-05 09:14:22,,,,,,,,,,,,,0.00,,,
2025-02-05 09:15:15,,,,,,,,,,,,0.00,,,,
2025-02-05 09:15:36,,,,,,,,,,,,,,,,0.00
2025-02-05 09:16:31,,,,,,,0.00,,,,,,,,,
2025-02-05 09:16:44,,,,,,,,,,,0.00,,,,,
2025-02-05 09:16:59,,,,0.51,,,,,,,,,,,,
2025-02-05 09:17:04,,,,,,,,,,,,,,0.00,,
2025-02-05 09:17:05,,,,,,,,,,0.00,,,,,,
2025-02-05 09:17:12,,,,,,0.51,,,,,,,,,,
2025-02-05 09:17:20,,,,,,,,,,,,,,,1.02,
2025-02-05 09:17:21,,11.43,0.00,,,,,,,,,,,,,
2025-02-05 09:17:54,,,,,0.25,,,,,,,,,,,
2025-02-05 09:18:09,,,,,,,,,0.00,,,,,,,
2025-02-05 09:18:32,,,,,,,,5.33,,,,,,,,
2025-02-05 09:19:22,,,,,,,,,,,,,0.00,,,
2025-02-05 09:20:15,,,,,,,,,,,,0.00,,,,
2025-02-05 09:20:36,,,,,,,,,,,,,,,,0.00
2025-02-05 09:21:31,,,,,,,0.00,,,,,,,,,
2025-02-05 09:21:44,,,,,,,,,,,0.00,,,,,
2025-02-05 09:21:59,,,,0.76,,,,,,,,,,,,
2025-02-05 09:22:04,,,,,,,,,,,,,,0.00,,
2025-02-05 09:22:05,,,,,,,,,,0.00,,,,,,
2025-02-05 09:22:12,,,,,,0.51,,,,,,,,,,
2025-02-05 09:22:20,,,,,,,,,,,,,,,1.27,
2025-02-05 09:22:21,,11.94,0.00,,,,,,,,,,,,,
2025-02-05 09:22:54,,,,,0.25,,,,,,,,,,,
2025-02-05 09:23:09,,,,,,,,,0.00,,,,,,,
2025-02-05 09:23:10,0.00,,,,,,,,,,,,,,,
2025-02-05 09:23:32,,,,,,,,5.33,,,,,,,,
2025-02-05 09:24:22,,,,,,,,,,,,,0.00,,,
2025-02-05 09:25:15,,,,,,,,,,,,0.25,,,,
2025-02-05 09:25:36,,,,,,,,,,,,,,,,0.00
2025-02-05 09:26:31,,,,,,,0.00,,,,,,,,,
2025-02-05 09:26:44,,,,,,,,,,,0.00,,,,,
2025-02-05 09:26:59,,,,0.76,,,,,,,,,,,,
2025-02-05 09:27:04,,,,,,,,,,,,,,0.00,,
2025-02-05 09:27:05,,,,,,,,,,0.00,,,,,,
2025-02-05 09:27:12,,,,,,0.51,,,,,,,,,,
2025-02-05 09:27:20,,,,,,,,,,,,,,,1.52,
2025-02-05 09:27:21,,12.70,0.00,,,,,,,,,,,,,
2025-02-05 09:27:54,,,,,0.51,,,,,,,,,,,
2025-02-05 09:28:09,,,,,,,,,0.00,,,,,,,
2025-02-05 09:28:10,0.00,,,,,,,,,,,,,,,
2025-02-05 09:28:32,,,,,,,,5.33,,,,,,,,
2025-02-05 09:29:22,,,,,,,,,,,,,0.00,,,
2025-02-05 09:30:15,,,,,,,,,,,,0.25,,,,
2025-02-05 09:30:36,,,,,,,,,,,,,,,,0.25
2025-02-05 09:31:31,,,,,,,0.00,,,,,,,,,
2025-02-05 09:31:44,,,,,,,,,,,0.00,,,,,
2025-02-05 09:31:59,,,,1.27,,,,,,,,,,,,
2025-02-05 09:32:05,,,,,,,,,,,,,,0.00,,
2025-02-05 09:32:05,,,,,,,,,,0.00,,,,,,
2025-02-05 09:32:12,,,,,,0.51,,,,,,,,,,
2025-02-05 09:32:20,,,,,,,,,,,,,,,1.52,
2025-02-05 09:32:21,,12.95,0.00,,,,,,,,,,,,,
2025-02-05 09:32:54,,,,,0.76,,,,,,,,,,,
2025-02-05 09:33:05,0.00,,,,,,,,,,,,,,,
2025-02-05 09:33:09,,,,,,,,,0.00,,,,,,,
2025-02-05 09:33:33,,,,,,,,5.59,,,,,,,,
2025-02-05 09:34:22,,,,,,,,,,,,,0.00,,,
2025-02-05 09:35:15,,,,,,,,,,,,0.51,,,,
2025-02-05 09:35:36,,,,,,,,,,,,,,,,0.51
2025-02-05 09:36:31,,,,,,,0.25,,,,,,,,,
2025-02-05 09:36:44,,,,,,,,,,,0.00,,,,,
2025-02-05 09:36:59,,,,1.52,,,,,,,,,,,,
2025-02-05 09:37:05,,,,,,,,,,,,,,0.00,,
2025-02-05 09:37:05,,,,,,,,,,0.00,,,,,,
2025-02-05 09:37:12,,,,,,0.51,,,,,,,,,,
2025-02-05 09:37:20,,,,,,,,,,,,,,,1.78,
2025-02-05 09:37:21,,13.46,0.00,,,,,,,,,,,,,
2025-02-05 09:37:57,,,,,1.02,,,,,,,,,,,
2025-02-05 09:38:05,0.00,,,,,,,,,,,,,,,
2025-02-05 09:38:09,,,,,,,,,0.00,,,,,,,
2025-02-05 09:38:33,,,,,,,,5.84,,,,,,,,
2025-02-05 09:39:22,,,,,,,,,,,,,0.00,,,
2025-02-05 09:40:15,,,,,,,,,,,,0.51,,,,
2025-02-05 09:40:37,,,,,,,,,,,,,,,,0.76
2025-02-05 09:41:32,,,,,,,0.25,,,,,,,,,
2025-02-05 09:41:44,,,,,,,,,,,0.00,,,,,
2025-02-05 09:41:59,,,,1.78,,,,,,,,,,,,
2025-02-05 09:42:05,,,,,,,,,,,,,,0.00,,
2025-02-05 09:42:05,,,,,,,,,,0.00,,,,,,
2025-02-05 09:42:12,,,,,,0.51,,,,,,,,,,
2025-02-05 09:42:20,,,,,,,,,,,,,,,2.03,
