Time,Ciudad Vieja,Punta Carretas,Curva de Maroñas,La Blanqueada,Prado,Lezica,Casavalle,Carrasco,Manga,Cerro,Felipe Cardoso,Malvín,La Esperanza,Santiago Vázquez,Colón,Paso de la Arena
2024-12-01 07:58:36,,,,,,,,,,,,,,0.25,,
2024-12-01 07:58:50,,,,,,,,0.25,,,,,,,,
2024-12-01 07:59:10,,,,,0.00,,,,,,,,,,,
2024-12-01 07:59:12,,,,,,0.51,,,,,,,,,,
2024-12-01 07:59:15,,,,,,,,,,0.00,,,,,,
2024-12-01 07:59:45,,,,,,,,,,,,,0.25,,,
2024-12-01 07:59:46,,,,,,,,,,,,,,,0.00,
2024-12-01 07:59:51,,,0.00,,,,,,,,,,,,,
2024-12-01 07:59:55,,,,,,,,,,,,,,,,0.25
2024-12-01 07:59:56,,0.25,,,,,,,,,,,,,,
2024-12-01 08:00:30,0.00,,,,,,,,,,,,,,,
2024-12-01 08:00:36,,,,,,,,,0.00,,,,,,,
2024-12-01 08:00:51,,,,,,,,,,,0.00,,,,,
2024-12-01 08:00:52,,,,0.25,,,,,,,,,,,,
2024-12-01 08:01:41,,,,,,,,,,,,0.00,,,,
2024-12-01 08:03:36,,,,,,,0.00,,,,,,,,,
2024-12-01 08:03:36,,,,,,,,,,,,,,0.25,,
2024-12-01 08:03:50,,,,,,,,0.25,,,,,,,,
2024-12-01 08:04:10,,,,,0.00,,,,,,,,,,,
2024-12-01 08:04:12,,,,,,0.51,,,,,,,,,,
2024-12-01 08:04:15,,,,,,,,,,0.00,,,,,,
2024-12-01 08:04:45,,,,,,,,,,,,,0.25,,,
2024-12-01 08:04:46,,,,,,,,,,,,,,,0.00,
2024-12-01 08:04:51,,,0.00,,,,,,,,,,,,,
2024-12-01 08:04:55,,,,,,,,,,,,,,,,0.25
2024-12-01 08:04:56,,0.25,,,,,,,,,,,,,,
2024-12-01 08:05:30,0.00,,,,,,,,,,,,,,,
2024-12-01 08:05:36,,,,,,,,,0.00,,,,,,,
2024-12-01 08:05:51,,,,,,,,,,,0.00,,,,,
2024-12-01 08:05:52,,,,0.25,,,,,,,,,,,,
2024-12-01 08:06:41,,,,,,,,,,,,0.00,,,,
2024-12-01 08:08:36,,,,,,,0.00,,,,,,,,,
2024-12-01 08:08:36,,,,,,,,,,,,,,0.51,,
2024-12-01 08:08:50,,,,,,,,0.25,,,,,,,,
2024-12-01 08:09:10,,,,,0.00,,,,,,,,,,,
2024-12-01 08:09:12,,,,,,0.51,,,,,,,,,,
2024-12-01 08:09:15,,,,,,,,,,0.00,,,,,,
2024-12-01 08:09:45,,,,,,,,,,,,,0.25,,,
2024-12-01 08:09:46,,,,,,,,,,,,,,,0.00,
2024-12-01 08:09:51,,,0.00,,,,,,,,,,,,,
2024-12-01 08:09:55,,,,,,,,,,,,,,,,0.25
2024-12-01 08:09:56,,0.25,,,,,,,,,,,,,,
2024-12-01 08:10:30,0.00,,,,,,,,,,,,,,,
2024-12-01 08:10:36,,,,,,,,,0.00,,,,,,,
2024-12-01 08:10:51,,,,,,,,,,,0.00,,,,,
2024-12-01 08:10:52,,,,0.25,,,,,,,,,,,,
2024-12-01 08:11:41,,,,,,,,,,,,0.00,,,,
2024-12-01 08:13:36,,,,,,,0.00,,,,,,,,,
2024-12-01 08:13:36,,,,,,,,,,,,,,0.51,,
2024-12-01 08:13:50,,,,,,,,0.25,,,,,,,,
2024-12-01 08:14:10,,,,,0.00,,,,,,,,,,,
2024-12-01 08:14:12,,,,,,0.51,,,,,,,,,,
2024-12-01 08:14:15,,,,,,,,,,0.00,,,,,,
2024-12-01 08:14:45,,,,,,,,,,,,,0.25,,,
2024-12-01 08:14:46,,,,,,,,,,,,,,,0.00,
2024-12-01 08:14:51,,,0.00,,,,,,,,,,,,,
2024-12-01 08:14:55,,,,,,,,,,,,,,,,0.25
2024-12-01 08:14:57,,,,,,,,,,,,,,,,
2024-12-01 08:15:30,0.00,,,,,,,,,,,,,,,
2024-12-01 08:15:36,,,,,,,,,0.00,,,,,,,
2024-12-01 08:15:52,,,,,,,,,,,0.00,,,,,
2024-12-01 08:15:52,,,,0.25,,,,,,,,,,,,
2024-12-01 08:16:41,,,,,,,,,,,,0.00,,,,
2024-12-01 08:18:36,,,,,,,,,,,,,,,,
2024-12-01 08:18:36,,,,,,,,,,,,,,0.51,,
2024-12-01 08:18:52,,,,,,,,,,,,,,,,
2024-12-01 08:19:10,,,,,,,,,,,,,,,,
2024-12-01 08:19:12,,,,,,,,,,,,,,,,
2024-12-01 08:19:15,,,,,,,,,,,,,,,,
2024-12-01 08:19:45,,,,,,,,,,,,,,,,
2024-12-01 08:19:46,,,,,,,,,,,,,,,,
2024-12-01 08:19:51,,,,,,,,,,,,,,,,
2024-12-01 08:19:55,,,,,,,,,,,,,,,,
2024-12-01 08:19:56,,0.25,,,,,,,,,,,,,,
2024-12-01 08:20:30,,,,,,,,,,,,,,,,
2024-12-01 08:20:36,,,,,,,,,0.00,,,,,,,
2024-12-01 08:20:52,,,,,,,,,,,0.00,,,,,
2024-12-01 08:20:52,,,,0.25,,,,,,,,,,,,
2024-12-01 08:21:41,,,,,,,,,,,,0.00,,,,
2024-12-01 08:23:36,,,,,,,0.00,,,,,,,,,
2024-12-01 08:23:36,,,,,,,,,,,,,,0.51,,
2024-12-01 08:23:52,,,,,,,,0.25,,,,,,,,
2024-12-01 08:24:10,,,,,0.51,,,,,,,,,,,
2024-12-01 08:24:12,,,,,,0.51,,,,,,,,,,
