"Time","Ciudad Vieja","Punta Carretas","Curva de Maroñas","La Blanqueada","Prado","Lezica","Casavalle","Carrasco","Manga","Cerro","Malvín","La Esperanza","Santiago Vázquez","Colón","Paso de la Arena"
2024-11-26 01:38:40,0.20,,,,,,,,,,,,,,
2024-11-26 01:39:04,,,,,,,,,,,,0.00,,,
2024-11-26 01:40:16,,,,0.00,,,,,,,,,,,
2024-11-26 01:40:30,,,,,,,,,,,,,0.00,,
2024-11-26 01:40:41,,,,,,,,,,,0.00,,,,
2024-11-26 01:41:07,,,,,,,,0.00,,,,,,,
2024-11-26 01:42:26,,,,,,,,,0.00,,,,,,
2024-11-26 01:42:55,,,,,,,0.00,,,,,,,,
2024-11-26 01:42:57,,,,,,,,,,,,,,0.00,
2024-11-26 01:43:03,,,,,0.00,,,,,,,,,,
2024-11-26 01:43:05,,,,,,0.00,,,,,,,,,
2024-11-26 01:43:07,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 01:43:21,,,,,,,,,,0.00,,,,,
2024-11-26 01:43:41,0.20,,,,,,,,,,,,,,
2024-11-26 01:44:04,,,,,,,,,,,,0.00,,,
2024-11-26 01:45:16,,,,0.00,,,,,,,,,,,
2024-11-26 01:45:30,,,,,,,,,,,,,0.00,,
2024-11-26 01:45:41,,,,,,,,,,,0.00,,,,
2024-11-26 01:46:07,,,,,,,,0.00,,,,,,,
2024-11-26 01:47:26,,,,,,,,,0.00,,,,,,
2024-11-26 01:47:55,,,,,,,0.00,,,,,,,,
2024-11-26 01:47:57,,,,,,,,,,,,,,0.00,
2024-11-26 01:48:03,,,,,0.00,,,,,,,,,,
2024-11-26 01:48:05,,,,,,0.00,,,,,,,,,
2024-11-26 01:48:07,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 01:48:21,,,,,,,,,,0.00,,,,,
2024-11-26 01:48:40,0.20,,,,,,,,,,,,,,
2024-11-26 01:49:04,,,,,,,,,,,,0.00,,,
2024-11-26 01:50:16,,,,0.00,,,,,,,,,,,
2024-11-26 01:50:30,,,,,,,,,,,,,0.00,,
2024-11-26 01:50:41,,,,,,,,,,,0.00,,,,
2024-11-26 01:51:07,,,,,,,,0.00,,,,,,,
2024-11-26 01:52:26,,,,,,,,,0.00,,,,,,
2024-11-26 01:52:55,,,,,,,0.00,,,,,,,,
2024-11-26 01:52:57,,,,,,,,,,,,,,0.00,
2024-11-26 01:53:03,,,,,0.00,,,,,,,,,,
2024-11-26 01:53:05,,,,,,0.00,,,,,,,,,
2024-11-26 01:53:07,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 01:53:21,,,,,,,,,,0.00,,,,,
2024-11-26 01:53:40,0.20,,,,,,,,,,,,,,
2024-11-26 01:54:04,,,,,,,,,,,,0.00,,,
2024-11-26 01:55:16,,,,0.00,,,,,,,,,,,
2024-11-26 01:55:30,,,,,,,,,,,,,0.00,,
2024-11-26 01:55:41,,,,,,,,,,,0.00,,,,
2024-11-26 01:56:07,,,,,,,,0.00,,,,,,,
2024-11-26 01:57:26,,,,,,,,,0.00,,,,,,
2024-11-26 01:57:55,,,,,,,0.00,,,,,,,,
2024-11-26 01:57:57,,,,,,,,,,,,,,0.00,
2024-11-26 01:58:03,,,,,0.00,,,,,,,,,,
2024-11-26 01:58:05,,,,,,0.00,,,,,,,,,
2024-11-26 01:58:07,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 01:58:21,,,,,,,,,,0.00,,,,,
2024-11-26 01:58:40,0.20,,,,,,,,,,,,,,
2024-11-26 01:59:04,,,,,,,,,,,,0.00,,,
2024-11-26 02:00:16,,,,0.00,,,,,,,,,,,
2024-11-26 02:00:30,,,,,,,,,,,,,0.00,,
2024-11-26 02:00:41,,,,,,,,,,,0.00,,,,
2024-11-26 02:01:07,,,,,,,,0.00,,,,,,,
2024-11-26 02:02:26,,,,,,,,,0.00,,,,,,
2024-11-26 02:02:55,,,,,,,0.00,,,,,,,,
2024-11-26 02:02:57,,,,,,,,,,,,,,0.00,
2024-11-26 02:03:03,,,,,0.00,,,,,,,,,,
2024-11-26 02:03:05,,,,,,0.00,,,,,,,,,
2024-11-26 02:03:07,,0.00,0.00,,,,,,,,,,,,0.00
2024-11-26 02:03:21,,,,,,,,,,0.00,,,,,
2024-11-26 02:03:40,0.20,,,,,,,,,,,,,,
2024-11-26 02:04:04,,,,,,,,,,,,0.00,,,
2024-11-26 02:05:16,,,,0.00,,,,,,,,,,,
2024-11-26 02:05:30,,,,,,,,,,,,,0.00,,
2024-11-26 02:05:41,,,,,,,,,,,0.00,,,,
2024-11-26 02:06:07,,,,,,,,0.00,,,,,,,
2024-11-26 02:07:26,,,,,,,,,0.00,,,,,,
2024-11-26 02:07:55,,,,,,,0.00,,,,,,,,
2024-11-26 02:07:57,,,,,,,,,,,,,,0.00,
2024-11-26 02:08:03,,,,,0.00,,,,,,,,,,
2024-11-26 02:08:05,,,,,,0.00,,,,,,,,,
