Time,Ciudad Vieja,Punta Carretas,Curva de Maroñas,La Blanqueada,Prado,Lezica,Casavalle,Carrasco,Manga,Cerro,Malvín,La Esperanza,Santiago Vázquez,Colón,Paso de la Arena,Chacarita
2025-01-18 16:50:00,,,,,,,,,,0.00,,,,,,
2025-01-18 16:50:14,,,,,,0.00,,,,,,,,,,
2025-01-18 16:50:48,,,,,,,0.00,,,,,,,,,
2025-01-18 16:50:53,,,,0.00,,,,,,,,,,,,
2025-01-18 16:51:04,,,0.00,,,,,,,,,,,,,
2025-01-18 16:51:08,,,,,,,,,,,,,,0.00,,
2025-01-18 16:51:20,,,,,,,,,,,,,,,0.00,
2025-01-18 16:51:22,,0.00,,,,,,,,,,,,,,
2025-01-18 16:52:03,0.00,,,,,,,,,,,,,,,
2025-01-18 16:52:37,,,,,,,,0.00,,,,,,,,
2025-01-18 16:52:40,,,,,0.00,,,,,,,,,,,
2025-01-18 16:52:42,,,,,,,,,,,0.00,,,,,
2025-01-18 16:52:43,,,,,,,,,,,,,0.00,,,
2025-01-18 16:54:42,,,,,,,,,,,,0.00,,,,
2025-01-18 16:54:47,,,,,,,,,0.00,,,,,,,
2025-01-18 16:55:00,,,,,,,,,,0.00,,,,,,
2025-01-18 16:55:14,,,,,,0.00,,,,,,,,,,
2025-01-18 16:55:48,,,,,,,0.00,,,,,,,,,
2025-01-18 16:55:53,,,,0.00,,,,,,,,,,,,
2025-01-18 16:56:04,,,0.00,,,,,,,,,,,,,
2025-01-18 16:56:09,,,,,,,,,,,,,,0.00,,
2025-01-18 16:56:20,,,,,,,,,,,,,,,0.00,
2025-01-18 16:56:22,,0.00,,,,,,,,,,,,,,
2025-01-18 16:57:05,0.00,,,,,,,,,,,,,,,
2025-01-18 16:57:37,,,,,,,,0.00,,,,,,,,
2025-01-18 16:57:40,,,,,0.00,,,,,,,,,,,
2025-01-18 16:57:42,,,,,,,,,,,0.00,,,,,
2025-01-18 16:57:43,,,,,,,,,,,,,0.00,,,
2025-01-18 16:59:42,,,,,,,,,,,,0.00,,,,
2025-01-18 16:59:47,,,,,,,,,0.00,,,,,,,
2025-01-18 17:00:00,,,,,,,,,,0.00,,,,,,
2025-01-18 17:00:14,,,,,,0.00,,,,,,,,,,
2025-01-18 17:00:48,,,,,,,0.00,,,,,,,,,
2025-01-18 17:00:53,,,,0.00,,,,,,,,,,,,
2025-01-18 17:01:04,,,0.00,,,,,,,,,,,,,
